고시날짜,내가 살 때(순금 3.75g),내가 팔 때(순금 3.75g),내가 팔 때(18K),내가 팔 때(14K)
2026-05-15 11:37:09,975000,810000,595400,461700
2026-05-15 09:49:11,977000,815000,599100,464600
2026-05-14 17:01:48,988000,819000,602000,466900
2026-05-14 13:45:05,989000,821000,603500,468000
2026-05-14 13:42:00,990000,817000,600500,465700
2026-05-14 09:43:04,985000,817000,600500,465700
2026-05-14 09:42:19,985000,817000,600500,465700
2026-05-14 09:35:59,986000,819000,602000,466900
2026-05-13 14:36:02,988000,821000,603500,468000
2026-05-13 09:39:54,995000,823000,605000,469200
2026-05-12 14:18:15,987000,821000,603500,468000
2026-05-12 11:13:11,993000,821000,603500,468000
2026-05-12 09:50:52,993000,819000,602000,466900
2026-05-12 09:49:40,993000,818000,601300,466300
2026-05-11 14:58:19,968000,810000,595400,461700
2026-05-11 10:39:43,975000,815000,599100,464600
2026-05-11 09:44:42,970000,812000,596900,462900
2026-05-09 08:36:13,971000,814000,598300,464000
2026-05-08 15:19:15,978000,816000,599800,465200
2026-05-08 11:12:06,975000,816000,599800,465200
2026-05-08 09:40:22,970000,811000,596100,462300
2026-05-07 15:46:55,969000,806000,592500,459500
2026-05-07 11:04:42,963000,806000,592500,459500
2026-05-07 09:48:53,959000,802000,589500,457200
2026-05-07 09:48:09,959000,803000,590300,457800
2026-05-06 15:56:05,957000,799000,587300,455500
2026-05-06 14:37:16,953000,799000,587300,455500
2026-05-06 10:44:40,949000,793000,582900,452100
2026-05-06 09:53:12,947000,793000,582900,452100
2026-05-05 16:36:55,947000,785000,577000,447500
2026-05-05 15:05:10,945000,785000,577000,447500
2026-05-05 10:34:54,944000,785000,577000,447500
2026-05-05 09:38:48,941000,785000,577000,447500
2026-05-04 15:47:16,955000,794000,583600,452600
2026-05-04 09:44:58,955000,795000,584400,453200
2026-05-04 09:42:28,955000,794000,583600,452600
2026-05-02 07:18:26,957000,796000,585100,453800
2026-05-01 15:50:54,960000,796000,585100,453800
2026-05-01 09:42:21,960000,800000,588000,456000
2026-04-30 16:01:40,961000,797000,585800,454300
2026-04-30 13:56:51,954000,797000,585800,454300
2026-04-30 13:56:31,954000,799000,587300,455500
2026-04-30 12:44:53,954000,799000,587300,455500
2026-04-30 10:44:39,959000,803000,590300,457800
2026-04-30 09:34:35,955000,799000,587300,455500
2026-04-29 16:46:23,952000,797000,585800,454300
2026-04-29 11:30:51,957000,800000,588000,456000
2026-04-29 09:38:21,955000,800000,588000,456000
2026-04-28 14:48:42,960000,805000,591700,458900
2026-04-28 12:50:27,975000,812000,596900,462900
2026-04-28 09:38:16,975000,817000,600500,465700
2026-04-27 15:32:03,980000,819000,602000,466900
2026-04-27 13:16:13,980000,821000,603500,468000
2026-04-27 10:07:30,977000,816000,599800,465200
2026-04-27 09:40:09,974000,816000,599800,465200
2026-04-25 08:33:41,980000,820000,602700,467400
2026-04-24 14:04:43,976000,816000,599800,465200
2026-04-24 14:03:27,976000,815000,599100,464600
2026-04-24 13:27:11,974000,816000,599800,465200
2026-04-24 11:29:21,983000,819000,602000,466900
2026-04-24 09:32:26,983000,823000,605000,469200
2026-04-23 12:08:16,988000,824000,605700,469700
